candidate_id,rank,score,reasoning
CAND_0018499,1,0.9999,"Senior Machine Learning Engineer at Zomato: ""Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.79. Chain: vis=0.97 resp=0.61 int=0.80 acc=0.75. Capability gaps: Fine-tune language models using LoR; Architect low-latency high-throughp. Moderate response (. Pareto-optimal: no other top candidate beats both fit and availability."
CAND_0077337,2,0.8724,"Staff Machine Learning Engineer at Paytm: ""Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to liv"". Covers: retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning, evaluation. Gaps: vector_db. Technical fit: 0.68. Chain: vis=0.80 resp=0.95 int=0.73 acc=0.77. Capability gaps: Fine-tune language models using LoR; Architect low-latency high-throughp. High recruiter response (95%). based in Kochi, Kerala. active 19d ago. Score: 0.8724.."
CAND_0046525,3,0.8279,"Senior Machine Learning Engineer at Genpact AI: ""Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.64. Chain: vis=0.93 resp=0.88 int=0.81 acc=0.48. Capability gaps: Fine-tune language models using LoR; Architect low-latency high-throughp. High recruiter response (88%). based in Pune, Maharashtra. active 22d ago. Score: 0.8279.."
CAND_0008425,4,0.7528,"Senior NLP Engineer at Ola: ""Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.66. Chain: vis=0.91 resp=0.66 int=0.77 acc=0.41. Capability gaps: Architect low-latency high-throughp; Technical leadership at early-stage. Moderate response (66%). based in Kolkata, West Bengal. Score: 0.7528.."
CAND_0011687,5,0.7490,"Senior NLP Engineer at Niramai: ""Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcin"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.69. Chain: vis=0.88 resp=0.89 int=0.77 acc=0.60. Capability gaps: Deploy vector search and embedding ; Build hybrid search combining dense. High recruiter response (89%). available in 15d. based in Indore, Madhya Pradesh. Score: 0.7490.."
CAND_0088025,6,0.7287,"Staff Machine Learning Engineer at Yellow.ai: ""Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcin"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.58. Chain: vis=0.92 resp=0.83 int=0.95 acc=0.82. Capability gaps: Deploy vector search and embedding ; Fine-tune language models using LoR. High recruiter response (83%). based in Jaipur, Rajasthan. Score: 0.7287.."
CAND_0080766,7,0.7119,"Staff Machine Learning Engineer at Salesforce: ""Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time"". Covers: vector_db, retrieval_and_search, embeddings, llm_and_finetuning, evaluation. Gaps: ranking_systems. Technical fit: 0.56. Chain: vis=0.93 resp=0.66 int=0.88 acc=0.63. Strong: Build recommendation or personaliza. Capability gaps: Build hybrid search combining dense; Technical leadership at early-stage. Moderate response (66%). based in Coimbatore, Tamil Nadu. Score: 0.7119.."
CAND_0005649,8,0.6922,"Senior Data Scientist at Sarvam AI: ""Developed a semantic search feature for an internal knowledge base of ~500K documents"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.47. Chain: vis=0.78 resp=0.57 int=0.88 acc=0.82. Capability gaps: Design learning-to-rank and re-rank; Technical leadership at early-stage. Moderate response (56%). based in Delhi, Delhi. Score: 0.6922.."
CAND_0006567,9,0.6675,"Senior AI Engineer at Meta: ""Built systems that understand what users are looking for and connect them to the most relevant match"". Covers: vector_db, retrieval_and_search, evaluation, production_deployment. Gaps: ranking_systems. Technical fit: 0.44. Chain: vis=0.92 resp=0.79 int=0.93 acc=0.79. Capability gaps: Build hybrid search combining dense; Technical leadership at early-stage. High recruiter response (79%). based in Noida, Uttar Pradesh. Score: 0.6675.."
CAND_0017960,10,0.6633,"Recommendation Systems Engineer at Nykaa: ""Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM"". Covers: vector_db, retrieval_and_search, ranking_systems, embeddings, llm_and_finetuning. Technical fit: 0.46. Chain: vis=0.81 resp=0.72 int=0.64 acc=0.64. Capability gaps: Build hybrid search combining dense; Design learning-to-rank and re-rank. High recruiter response (72%). based in Bangalore, Karnataka. Score: 0.6633.."
